ID_Vehiculo,Tipo_vehiculo,Marca,Modelo,Año,Capacidad
1,sapien placerat ante nulla justo aliquam quis turpis eget elit,Suzuki,Forenza,2008,6
2,odio consequat varius integer ac,Ford,Explorer,1995,3
3,donec odio justo sollicitudin ut suscipit a feugiat et,Lexus,SC,2004,5
4,sed sagittis nam congue risus semper,Honda,Accord,2009,4
5,quis tortor id nulla ultrices,Saab,9-7X,2005,4
6,odio justo sollicitudin ut suscipit a feugiat et,Ford,Econoline E350,1999,7
7,orci eget orci vehicula condimentum curabitur in libero,Dodge,Stratus,2006,3
8,magna bibendum imperdiet nullam orci pede,Chevrolet,Uplander,2007,3
9,non mi integer ac neque duis bibendum morbi non quam,Infiniti,QX,2010,2
10,tortor id nulla ultrices aliquet maecenas leo odio condimentum id,Hyundai,Tiburon,2007,6
11,eros vestibulum ac est lacinia nisi venenatis tristique,Ford,Econoline E350,1995,3
12,nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque,Buick,Regal,1991,3
13,turpis integer aliquet massa id lobortis convallis tortor,Volkswagen,Routan,2011,6
14,amet nulla quisque arcu libero rutrum ac lobortis vel,Lincoln,Town Car,2002,3
15,justo sollicitudin ut suscipit a feugiat et eros,Saab,9-5,2010,5
16,nullam sit amet turpis elementum ligula vehicula consequat morbi,Mitsubishi,Challenger,2001,2
17,augue vestibulum rutrum rutrum neque aenean,Mercedes-Benz,SL-Class,2003,4
18,luctus nec molestie sed justo pellentesque viverra pede,BMW,8 Series,1996,3
19,lacus curabitur at ipsum ac tellus,Mazda,Mazda3,2012,7
20,nulla mollis molestie lorem quisque ut erat curabitur gravida nisi,Subaru,Outback,2002,1
21,nullam orci pede venenatis non sodales sed tincidunt eu felis,Porsche,944,1987,2
22,tristique in tempus sit amet sem fusce,Saturn,Sky,2008,1
23,id nisl venenatis lacinia aenean sit,Saab,9-5,2000,7
24,justo nec condimentum neque sapien placerat ante nulla justo,Honda,Civic,1988,1
25,integer tincidunt ante vel ipsum praesent blandit lacinia erat,GMC,Canyon,2006,2
26,parturient montes nascetur ridiculus mus,Dodge,Viper,2009,4
27,tempus vel pede morbi porttitor,Ford,Econoline E150,1999,2
28,in purus eu magna vulputate luctus cum sociis natoque,Maserati,Quattroporte,1984,7
29,quam a odio in hac habitasse platea dictumst,Audi,100,1991,7
30,erat nulla tempus vivamus in felis eu,Acura,NSX,1996,3
31,sed vestibulum sit amet cursus,Mazda,B-Series Plus,1997,2
32,eget tincidunt eget tempus vel pede morbi porttitor lorem id,Ford,F350,2006,7
33,nec dui luctus rutrum nulla tellus in sagittis dui,Toyota,Highlander,2003,3
34,mauris vulputate elementum nullam varius nulla,Chevrolet,Malibu,2002,5
35,urna ut tellus nulla ut erat id mauris vulputate,Volkswagen,GTI,2004,5
36,dictumst maecenas ut massa quis augue,Chevrolet,Lumina,2001,3
37,adipiscing lorem vitae mattis nibh,Volkswagen,Jetta,2012,6
38,ac enim in tempor turpis nec euismod scelerisque quam turpis,Scion,xA,2005,6
39,lectus suspendisse potenti in eleifend quam a,Mercury,Mystique,1999,5
40,volutpat dui maecenas tristique est et tempus semper est quam,Chevrolet,Suburban 1500,1996,1
41,nulla dapibus dolor vel est donec,Cadillac,XLR-V,2008,1
42,elementum in hac habitasse platea dictumst morbi vestibulum velit id,Mercedes-Benz,S-Class,1996,1
43,mi integer ac neque duis bibendum morbi non,Chevrolet,Malibu,2005,7
44,nulla justo aliquam quis turpis eget elit,GMC,Sierra 2500,2001,5
45,luctus cum sociis natoque penatibus et magnis dis parturient montes,Dodge,Nitro,2011,7
46,maecenas rhoncus aliquam lacus morbi quis tortor id nulla,Buick,Riviera,1988,3
47,tortor quis turpis sed ante vivamus tortor duis,Kia,Forte,2010,7
48,amet eleifend pede libero quis orci nullam,Oldsmobile,Silhouette,1999,7
49,nam congue risus semper porta,Pontiac,Grand Prix,1989,6
50,imperdiet sapien urna pretium nisl,Ford,E150,2009,7
51,maecenas rhoncus aliquam lacus morbi quis tortor id nulla,Toyota,Tundra,2007,7
